"LOCALITY";"STRAT";"DMIN";"DMAX";"AREA";"DEPTH";"NAME"
"Stratum.482";482;101;200;1042;102;"4X "
"Stratum.493";493;0;49;533;51;"4X "
"Stratum.5Z5";"5Z5";51;100;2336;100;"5Z "
"Stratum.411";411;100;200;379;200;"4W "
"Stratum.511";511;111;183;622;183;"5Z "
"Stratum.407";407;0;150;1763;150;"4W "
"Stratum.437";437;51;100;495;100;"4T "
"Stratum.552";552;50;100;1179;100;"5Z "
"Stratum.426";426;51;100;388;100;"4T "
"Stratum.456";456;0;49;955;63;"4VSW "
"Stratum.460";460;51;100;1344;104;"4VSW "
"Stratum.475";475;0;49;156;53;"4X "
"Stratum.404";404;100;200;150;200;"4VS "
"Stratum.415";415;101;200;764;150;"4T "
"Stratum.490";490;0;49;601;55;"4X "
"Stratum.556";556;0;100;6188;100;"5Z "
"Stratum.445";445;101;200;1023;205;"4VSW "
"Stratum.434";434;0;49;1211;50;"4T "
"Stratum.423";423;0;49;3211;50;"4T "
"Stratum.442";442;0;49;1437;50;"4VN "
"Stratum.453";453;101;200;259;200;"4VSW "
"Stratum.464";464;0;50;1297;51;"4VSW "
"Stratum.401";401;0;150;2782;150;"4VS "
"Stratum.419";419;0;49;443;50;"4T "
"Stratum.483";483;101;200;532;201;"4X "
"Stratum.494";494;0;49;417;48;"4X "
"Stratum.408";408;0;100;3184;100;"4W "
"Stratum.5Z2";"5Z2";0;50;1252;50;"5Z "
"Stratum.449";449;51;100;144;100;"4VSW "
"Stratum.438";438;51;100;168;100;"4T "
"Stratum.420";420;0;49;773;50;"4T "
"Stratum.431";431;0;50;1419;50;"4T "
"Stratum.450";450;51;100;383;102;"4VSW "
"Stratum.457";457;51;100;811;107;"4VSW "
"Stratum.461";461;101;200;1154;148;"4VSW "
"Stratum.472";472;51;100;1249;100;"4X "
"Stratum.427";427;0;49;951;50;"4T "
"Stratum.491";491;51;100;687;107;"4X "
"Stratum.512";512;184;366;176;366;"5Z "
"Stratum.422";422;0;49;1244;50;"4T "
"Stratum.553";553;0;50;2712;50;"5Z "
"Stratum.416";416;51;100;1067;100;"4T "
"Stratum.5Z6";"5Z6";0;50;1638;50;"5Z "
"Stratum.446";446;101;200;491;200;"4VSW "
"Stratum.465";465;51;100;2383;100;"4VSW "
"Stratum.476";476;51;100;1478;100;"4X "
"Stratum.480";480;0;49;655;51;"4X "
"Stratum.5Z3";"5Z3";0;50;2295;100;"5Z "
"Stratum.557";557;0;100;795;30;"5Z "
"Stratum.435";435;0;49;639;50;"4T "
"Stratum.424";424;0;49;1050;50;"4T "
"Stratum.454";454;51;100;499;100;"4VSW "
"Stratum.443";443;0;49;1318;50;"4VSW "
"Stratum.484";484;101;200;2264;142;"4X "
"Stratum.495";495;0;49;584;50;"4X "
"Stratum.402";402;0;200;3394;200;"4VS "
"Stratum.409";409;0;50;1500;50;"4W "
"Stratum.439";439;101;200;353;50;"4T "
"Stratum.405";405;0;200;454;200;"4VS "
"Stratum.U13";"U13";0;110;2374;110;"5Z "
"Stratum.U14";"U14";0;183;656;183;"5Z "
"Stratum.U15";"U15";0;366;230;366;"5Z "
"Stratum.U16";"U16";0;110;2980;110;"5Z "
"Stratum.U17";"U17";0;183;360;183;"5Z "
"Stratum.U18";"U18";0;366;172;366;"5Z "
"Stratum.U19";"U19";0;55;2454;55;"5Z "
"Stratum.U20";"U20";0;55;1221;55;"5Z "
"Stratum.U21";"U21";0;110;424;110;"5Z "
"Stratum.U22";"U22";0;183;454;183;"5Z "
"Stratum.U23";"U23";0;110;1016;110;"5Z "
"Stratum.U24";"U24";0;183;2569;183;"5Z "
"Stratum.U25";"U25";0;55;390;55;"5Z "
"Stratum.U26";"U26";0;110;1014;110;"5Y "
"Stratum.U27";"U27";0;183;720;183;"5Y "
"Stratum.U28";"U28";0;366;2249;366;"5Y "
"Stratum.U30";"U30";0;366;619;366;"5Z "
"Stratum.U31";"U31";0;183;1875;183;"4X "
"Stratum.U32";"U32";0;110;655;110;"4X "
"Stratum.U33";"U33";0;110;861;110;"4X "
"Stratum.U34";"U34";0;183;1766;183;"4X "
"Stratum.U35";"U35";0;183;1097;183;"4X "
"Stratum.U36";"U36";0;366;4069;366;"5Y "
"Stratum.U37";"U37";0;183;2108;183;"5Y "
"Stratum.U38";"U38";0;183;2560;183;"5Y "
"Stratum.U39";"U39";0;110;730;110;"5Y "
